ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title,Direction
ILMN_1670379,2.13e-14,1.10e-18,-12.1900671,31.984998,-1.33995038,208022654,ANTXR1,anthrax toxin receptor 1,Downregulated
ILMN_3251672,2.13e-14,2.41e-18,-11.9859003,31.231735,-1.27685475,972775985,DSG2,desmoglein 2,Downregulated
ILMN_2072178,2.13e-14,2.70e-18,-11.9562573,31.121912,-1.19189657,157694509,ECHDC3,enoyl-CoA hydratase domain containing 3,Downregulated
ILMN_1672536,2.73e-14,4.04e-18,-11.8516524,30.733455,-1.34284874,34734065,FBLN1,fibulin 1,Downregulated
ILMN_1754795,5.75e-14,9.71e-18,-11.6250537,29.887124,-1.02980248,75813622,FAT1,FAT atypical cadherin 1,Downregulated
ILMN_1689176,7.61e-14,1.45e-17,-11.5226295,29.502431,-1.71465673,109715836,NDNF,neuron derived neurotrophic factor,Downregulated
ILMN_1815938,1.41e-13,3.28e-17,-11.3138559,28.714241,-1.04193148,55953094,TRPM3,transient receptor potential cation channel subfamily M member 3,Downregulated
ILMN_1689046,2.07e-13,5.25e-17,-11.1939572,28.25916,-1.10361156,148833510,RBM47,RNA binding motif protein 47,Downregulated
ILMN_1686906,3.63e-13,9.98e-17,11.0309798,27.637796,1.24829541,1043261394,TP53INP2,tumor protein p53 inducible nuclear protein 2,Upregulated
ILMN_1782938,4.77e-13,1.41e-16,-10.9434767,27.302886,-1.50678429,221139821,SLC16A10,solute carrier family 16 member 10,Downregulated
ILMN_2150402,5.03e-13,1.59e-16,-10.9127156,27.184938,-1.15467234,223555957,TMEM64,transmembrane protein 64,Downregulated
ILMN_1757837,5.13e-13,1.74e-16,-10.891429,27.103254,-1.13266329,281371345,CFAP206,cilia and flagella associated protein 206,Downregulated
ILMN_1670807,5.47e-13,1.97e-16,-10.8599712,26.982445,-1.28622939,307611973,FAM84B,family with sequence similarity 84 member B,Downregulated
ILMN_1696316,5.86e-13,2.23e-16,-10.8285416,26.86163,-1.04064538,188595714,CPT1A,carnitine palmitoyltransferase 1A,Downregulated
ILMN_1745501,6.17e-13,3.11e-16,-10.7448478,26.539365,-1.11369574,37595559,DNALI1,dynein axonemal light intermediate chain 1,Downregulated
ILMN_1744487,6.17e-13,3.13e-16,-10.7433573,26.533619,-1.78611734,510025460,C1QTNF5,C1q and tumor necrosis factor related protein 5,Downregulated
ILMN_1737631,8.23e-13,4.70e-16,10.6414927,26.140308,1.1195108,442796406,PAQR6,progestin and adipoQ receptor family member 6,Upregulated
ILMN_1801703,1.46e-12,9.65e-16,10.461755,25.443543,1.05837049,34335235,CPLX1,complexin 1,Upregulated
ILMN_1793410,1.46e-12,9.85e-16,-10.4564494,25.422923,-1.1079292,208879457,SNTB1,syntrophin beta 1,Downregulated
ILMN_1750271,1.49e-12,1.04e-15,10.4440522,25.374729,1.30492762,507417957,MOBP,myelin-associated oligodendrocyte basic protein,Upregulated
ILMN_1805603,1.91e-12,1.37e-15,-10.3739283,25.10182,-1.11263385,94681048,CFAP43,cilia and flagella associated protein 43,Downregulated
ILMN_2398939,3.77e-12,3.19e-15,10.1651886,24.28645,1.15738345,68509927,MBP,myelin basic protein,Upregulated
ILMN_1769433,4.57e-12,3.99e-15,-10.1097983,24.069354,-1.02960605,550544222,IQGAP2,IQ motif containing GTPase activating protein 2,Downregulated
ILMN_1699537,4.57e-12,4.06e-15,-10.1054277,24.052212,-1.21698571,809281396,C9orf135,chromosome 9 open reading frame 135,Downregulated
ILMN_1662390,4.75e-12,4.32e-15,10.0901489,23.992269,1.07101714,38708312,ASPHD1,aspartate beta-hydroxylase domain containing 1,Upregulated
ILMN_2157240,6.15e-12,5.71e-15,-10.0208804,23.72023,-1.12131682,209915559,MNS1,meiosis specific nuclear structural 1,Downregulated
ILMN_1692219,1.04e-11,1.18e-14,-9.8421184,23.016104,-1.03098191,289547523,RAB11FIP1,RAB11 family interacting protein 1,Downregulated
ILMN_2186216,1.05e-11,1.24e-14,-9.8293603,22.96574,-1.09339127,815890942,GOLIM4,golgi integral membrane protein 4,Downregulated
ILMN_1796094,1.43e-11,1.72e-14,-9.7500722,22.65242,-1.02222138,188536061,CD36,CD36 molecule,Downregulated
ILMN_1693319,1.49e-11,1.83e-14,-9.7350651,22.593055,-1.4039515,189217902,EYA4,EYA transcriptional coactivator and phosphatase 4,Downregulated
ILMN_1746949,2.06e-11,2.79e-14,-9.6317229,22.18374,-1.0902128,916532139,CFAP53,cilia and flagella associated protein 53,Downregulated
ILMN_2251114,2.15e-11,2.96e-14,9.6173333,22.126675,1.01685302,542133092,SEPT4,septin 4,Upregulated
ILMN_1676663,2.50e-11,3.73e-14,-9.5602363,21.900081,-1.52225783,148743792,TNFRSF11B,TNF receptor superfamily member 11b,Downregulated
ILMN_1775042,2.50e-11,3.75e-14,-9.5594334,21.896893,-1.41358701,32189424,DAW1,dynein assembly factor with WD repeats 1,Downregulated
ILMN_2054652,2.86e-11,4.65e-14,-9.506442,21.686356,-1.2514787,169881242,TYRP1,tyrosinase related protein 1,Downregulated
ILMN_1702255,3.59e-11,6.00e-14,9.4445874,21.44033,1.35989243,240255504,KCNT1,potassium sodium-activated channel subfamily T member 1,Upregulated
ILMN_2201678,3.99e-11,6.74e-14,-9.4159766,21.326433,-1.11853955,197304788,FSTL1,follistatin like 1,Downregulated
ILMN_1694426,4.16e-11,7.11e-14,-9.4029377,21.274506,-1.06321558,317008621,ROR2,receptor tyrosine kinase like orphan receptor 2,Downregulated
ILMN_1717757,4.72e-11,8.18e-14,-9.3690341,21.139427,-1.06376214,110227595,CALML4,calmodulin like 4,Downregulated
ILMN_2352131,5.72e-11,1.16e-13,-9.2833816,20.797802,-1.04959159,584277099,ERBB2,erb-b2 receptor tyrosine kinase 2,Downregulated
ILMN_1798855,5.72e-11,1.17e-13,-9.2811366,20.788841,-1.05886248,114155157,RASSF9,Ras association domain family member 9,Downregulated
ILMN_1796734,6.17e-11,1.29e-13,-9.2577367,20.695418,-1.1931109,365777426,SPARC,secreted protein acidic and cysteine rich,Downregulated
ILMN_1719906,7.81e-11,1.75e-13,-9.1840861,20.401129,-1.04668179,296179428,HADH,hydroxyacyl-CoA dehydrogenase,Downregulated
ILMN_3239213,1.04e-10,2.50e-13,-9.0973246,20.054002,-1.20602698,157426880,PIRT,phosphoinositide interacting regulator of transient receptor potential channels,Downregulated
ILMN_1718949,1.55e-10,4.02e-13,-8.9822151,19.592747,-1.36437918,223633936,SLC39A12,solute carrier family 39 member 12,Downregulated
ILMN_2136147,1.57e-10,4.15e-13,8.9746596,19.562445,1.28328489,1020738672,BCAS1,breast carcinoma amplified sequence 1,Upregulated
ILMN_2251225,1.58e-10,4.22e-13,-8.9705515,19.545967,-1.491455,282165777,WDR78,WD repeat domain 78,Downregulated
ILMN_1756550,1.87e-10,5.11e-13,-8.9241724,19.359878,-1.23631402,222144276,NUP62CL,nucleoporin 62 C-terminal like,Downregulated
ILMN_1711408,2.51e-10,7.23e-13,-8.8404289,19.023581,-1.13723718,1002623481,ANXA4,annexin A4,Downregulated
ILMN_2334210,2.56e-10,7.43e-13,-8.8336837,18.996478,-1.27385667,54607026,ITGB4,integrin subunit beta 4,Downregulated
ILMN_1730998,2.70e-10,8.15e-13,-8.8112875,18.906472,-1.13153285,523567553,TSPAN6,tetraspanin 6,Downregulated
ILMN_2149164,2.94e-10,9.06e-13,-8.7858349,18.804153,-1.11452913,257196278,SFRP1,secreted frizzled related protein 1,Downregulated
ILMN_1697317,3.11e-10,9.66e-13,-8.7701459,18.741069,-1.33495193,756992482,DYNLRB2,dynein light chain roadblock-type 2,Downregulated
ILMN_1694810,3.16e-10,9.94e-13,8.7632818,18.713465,1.0375843,163659919,PANX2,pannexin 2,Upregulated
ILMN_3289297,3.56e-10,1.16e-12,-8.7260201,18.563582,-1.23260725,170763518,TACC1,transforming acidic coiled-coil containing protein 1,Downregulated
ILMN_2359306,3.56e-10,1.17e-12,-8.7241573,18.556087,-1.19099526,110835716,CAPSL,calcyphosine like,Downregulated
ILMN_1719599,3.56e-10,1.18e-12,-8.7229162,18.551094,-1.19339473,193804859,SYTL4,synaptotagmin like 4,Downregulated
ILMN_1814369,5.39e-10,1.91e-12,-8.6053982,18.077981,-1.21111477,254911042,C21orf62,chromosome 21 open reading frame 62,Downregulated
ILMN_2125763,5.54e-10,2.01e-12,-8.5929145,18.027691,-1.15015733,817475217,ZMYND10,zinc finger MYND-type containing 10,Downregulated
ILMN_1724355,5.92e-10,2.22e-12,-8.5698992,17.934961,-1.13276983,510025447,MFRP,membrane frizzled-related protein,Downregulated
ILMN_1699665,6.24e-10,2.37e-12,-8.5533803,17.868393,-1.25148937,948549899,CLIC6,chloride intracellular channel 6,Downregulated
ILMN_1669227,6.63e-10,2.61e-12,-8.5306422,17.776747,-1.20543127,1017029571,ADRA1A,adrenoceptor alpha 1A,Downregulated
ILMN_1698179,7.75e-10,3.16e-12,8.4841584,17.589342,1.1441858,56549138,TAGLN3,transgelin 3,Upregulated
ILMN_1732410,8.82e-10,3.75e-12,-8.443282,17.424487,-1.25307586,197383642,SLC16A9,solute carrier family 16 member 9,Downregulated
ILMN_1689088,1.05e-09,4.82e-12,-8.3826541,17.179887,-1.45067755,197245360,COLEC12,collectin subfamily member 12,Downregulated
ILMN_1792495,1.14e-09,5.32e-12,-8.359046,17.084616,-1.0265569,427918085,AHNAK,AHNAK nucleoprotein,Downregulated
ILMN_2155816,1.14e-09,5.33e-12,8.3585997,17.082815,1.01121521,747811824,DIRAS2,DIRAS family GTPase 2,Upregulated
