#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC4	SLCO1C1	9606.ENSP00000494609	9606.ENSP00000444149	0	0	0	0	0	0	0	0.488	0.488
ACKR3	CCL2	9606.ENSP00000272928	9606.ENSP00000225831	0	0	0	0	0.068	0	0	0.400	0.417
ACKR3	VCAM1	9606.ENSP00000272928	9606.ENSP00000294728	0	0	0	0	0.072	0.098	0	0.468	0.515
ACKR3	ADRA1A	9606.ENSP00000272928	9606.ENSP00000369960	0	0	0	0.572	0	0.292	0	0.517	0.643
ADRA1A	NEFL	9606.ENSP00000369960	9606.ENSP00000482169	0	0	0	0	0.045	0.049	0	0.421	0.428
AEBP1	ANTXR1	9606.ENSP00000223357	9606.ENSP00000301945	0	0	0	0	0.149	0	0	0.326	0.403
AHNAK	EZR	9606.ENSP00000367263	9606.ENSP00000338934	0	0	0	0	0.075	0.435	0	0.927	0.958
AHNAK	ANXA1	9606.ENSP00000367263	9606.ENSP00000366109	0	0	0	0	0.227	0.064	0	0.634	0.712
ANTXR1	CALML4	9606.ENSP00000301945	9606.ENSP00000419081	0	0	0	0	0	0.109	0	0.447	0.486
ANXA1	CCL2	9606.ENSP00000366109	9606.ENSP00000225831	0	0	0	0	0.151	0	0	0.396	0.465
ANXA1	CD44	9606.ENSP00000366109	9606.ENSP00000398632	0	0	0	0	0.304	0	0	0.389	0.556
ARMC3	RSPH4A	9606.ENSP00000298032	9606.ENSP00000229554	0	0	0	0	0.383	0.175	0	0.107	0.505
ARMC3	ZMYND10	9606.ENSP00000298032	9606.ENSP00000231749	0	0	0	0	0.259	0	0	0.443	0.570
ARMC3	DNALI1	9606.ENSP00000298032	9606.ENSP00000296218	0	0	0	0	0.223	0.305	0	0.251	0.560
ARMC3	CFAP43	9606.ENSP00000298032	9606.ENSP00000349568	0	0	0	0	0.318	0	0	0.160	0.402
